delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PK Garg,LS Livingstone,0,Abhishek Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
0.2,Abhishek Sharma,LS Livingstone,0,PK Garg,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
0.3,Abhishek Sharma,LS Livingstone,0,PK Garg,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
0.4,Abhishek Sharma,LS Livingstone,0,PK Garg,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
0.5,Abhishek Sharma,LS Livingstone,0,PK Garg,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
0.6,Abhishek Sharma,LS Livingstone,0,PK Garg,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
1.1,PK Garg,Arshdeep Singh,0,Abhishek Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
1.2,PK Garg,Arshdeep Singh,0,Abhishek Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
1.3,PK Garg,Arshdeep Singh,0,Abhishek Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
1.4,Abhishek Sharma,Arshdeep Singh,0,PK Garg,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
1.5,Abhishek Sharma,Arshdeep Singh,0,PK Garg,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
1.6,PK Garg,Arshdeep Singh,0,Abhishek Sharma,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
2.1,Abhishek Sharma,K Rabada,0,PK Garg,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
2.2,Abhishek Sharma,K Rabada,0,PK Garg,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
2.3,PK Garg,K Rabada,0,Abhishek Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
2.4,PK Garg,K Rabada,0,Abhishek Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'PK Garg', 'fielders': ['MA Agarwal'], 'kind': 'caught'}",0.0,0.0,0.0,0.0,0,caught,PK Garg,['MA Agarwal'],0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
2.5,RA Tripathi,K Rabada,0,Abhishek Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
2.6,RA Tripathi,K Rabada,0,Abhishek Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
3.1,Abhishek Sharma,Arshdeep Singh,0,RA Tripathi,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
3.2,Abhishek Sharma,Arshdeep Singh,0,RA Tripathi,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
3.3,Abhishek Sharma,Arshdeep Singh,0,RA Tripathi,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
3.4,Abhishek Sharma,Arshdeep Singh,0,RA Tripathi,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
3.5,Abhishek Sharma,Arshdeep Singh,0,RA Tripathi,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
3.6,Abhishek Sharma,Arshdeep Singh,0,RA Tripathi,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
4.1,RA Tripathi,K Rabada,0,Abhishek Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
4.2,RA Tripathi,K Rabada,{'wides': 1},Abhishek Sharma,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
4.3,RA Tripathi,K Rabada,0,Abhishek Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
4.4,Abhishek Sharma,K Rabada,0,RA Tripathi,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Mumbai,2022-05-22,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,Harpreet Brar,20,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,"Wankhede Stadium, Mumbai"
