delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,WP Saha,UT Yadav,0,MJ Guptill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Bengaluru,2019-05-04,male,T20,0,Royal Challengers Bangalore,wickets,4,0,0,0,0,SO Hetmyer,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
0.2,MJ Guptill,UT Yadav,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Bengaluru,2019-05-04,male,T20,0,Royal Challengers Bangalore,wickets,4,0,0,0,0,SO Hetmyer,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
0.3,MJ Guptill,UT Yadav,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Bengaluru,2019-05-04,male,T20,0,Royal Challengers Bangalore,wickets,4,0,0,0,0,SO Hetmyer,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
0.4,MJ Guptill,UT Yadav,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Bengaluru,2019-05-04,male,T20,0,Royal Challengers Bangalore,wickets,4,0,0,0,0,SO Hetmyer,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
0.5,MJ Guptill,UT Yadav,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Bengaluru,2019-05-04,male,T20,0,Royal Challengers Bangalore,wickets,4,0,0,0,0,SO Hetmyer,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
0.6,MJ Guptill,UT Yadav,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Bengaluru,2019-05-04,male,T20,0,Royal Challengers Bangalore,wickets,4,0,0,0,0,SO Hetmyer,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
1.1,MJ Guptill,NA Saini,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Bengaluru,2019-05-04,male,T20,0,Royal Challengers Bangalore,wickets,4,0,0,0,0,SO Hetmyer,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
1.2,MJ Guptill,NA Saini,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Bengaluru,2019-05-04,male,T20,0,Royal Challengers Bangalore,wickets,4,0,0,0,0,SO Hetmyer,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
1.3,MJ Guptill,NA Saini,0,WP Saha,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Sunrisers Hyderabad,Bengaluru,2019-05-04,male,T20,0,Royal Challengers Bangalore,wickets,4,0,0,0,0,SO Hetmyer,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
1.4,MJ Guptill,NA Saini,0,WP Saha,"{'extras': 0, 'total': 5, 'batsman': 5}",0,0.0,0.0,0.0,0,0,0,0,0,5,0,5,Sunrisers Hyderabad,Bengaluru,2019-05-04,male,T20,0,Royal Challengers Bangalore,wickets,4,0,0,0,0,SO Hetmyer,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
1.5,WP Saha,NA Saini,0,MJ Guptill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Bengaluru,2019-05-04,male,T20,0,Royal Challengers Bangalore,wickets,4,0,0,0,0,SO Hetmyer,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
1.6,WP Saha,NA Saini,0,MJ Guptill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Bengaluru,2019-05-04,male,T20,0,Royal Challengers Bangalore,wickets,4,0,0,0,0,SO Hetmyer,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
2.1,MJ Guptill,UT Yadav,0,WP Saha,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Sunrisers Hyderabad,Bengaluru,2019-05-04,male,T20,0,Royal Challengers Bangalore,wickets,4,0,0,0,0,SO Hetmyer,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
