delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Abhishek Sharma,WG Jacks,0,TM Head,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Bengaluru,2024-04-15,male,T20,0,Sunrisers Hyderabad,runs,25,0,0,0,0,TM Head,20,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
0.2,Abhishek Sharma,WG Jacks,0,TM Head,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Bengaluru,2024-04-15,male,T20,0,Sunrisers Hyderabad,runs,25,0,0,0,0,TM Head,20,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
0.3,Abhishek Sharma,WG Jacks,0,TM Head,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Sunrisers Hyderabad,Bengaluru,2024-04-15,male,T20,0,Sunrisers Hyderabad,runs,25,0,0,0,0,TM Head,20,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
0.4,Abhishek Sharma,WG Jacks,0,TM Head,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Bengaluru,2024-04-15,male,T20,0,Sunrisers Hyderabad,runs,25,0,0,0,0,TM Head,20,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
0.5,Abhishek Sharma,WG Jacks,0,TM Head,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Bengaluru,2024-04-15,male,T20,0,Sunrisers Hyderabad,runs,25,0,0,0,0,TM Head,20,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
0.6,TM Head,WG Jacks,0,Abhishek Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Bengaluru,2024-04-15,male,T20,0,Sunrisers Hyderabad,runs,25,0,0,0,0,TM Head,20,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
1.1,Abhishek Sharma,RJW Topley,0,TM Head,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Bengaluru,2024-04-15,male,T20,0,Sunrisers Hyderabad,runs,25,0,0,0,0,TM Head,20,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
1.2,TM Head,RJW Topley,0,Abhishek Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Bengaluru,2024-04-15,male,T20,0,Sunrisers Hyderabad,runs,25,0,0,0,0,TM Head,20,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
1.3,TM Head,RJW Topley,0,Abhishek Sharma,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Sunrisers Hyderabad,Bengaluru,2024-04-15,male,T20,0,Sunrisers Hyderabad,runs,25,0,0,0,0,TM Head,20,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
1.4,TM Head,RJW Topley,0,Abhishek Sharma,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Sunrisers Hyderabad,Bengaluru,2024-04-15,male,T20,0,Sunrisers Hyderabad,runs,25,0,0,0,0,TM Head,20,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
