name,team1,team2,venue,date,career_avg,career_sr,last_5_avg,last_5_sr,venue_avg,career_wickets,career_eco,last_5_wkts,venue_wickets,role
Rohit Sharma,MI,CSK,Mumbai,2024-04-20,32.5,133.2,45.3,145.0,37.2,,,,,batsman
Shubman Gill,GT,RCB,Ahmedabad,2024-04-20,41.8,136.7,48.0,142.3,44.1,,,,,batsman
David Warner,DC,SRH,Delhi,2024-04-20,39.6,141.5,40.1,138.2,38.3,,,,,batsman
Virat Kohli,RCB,GT,Bangalore,2024-04-20,42.7,130.8,47.5,129.0,43.0,,,,,batsman
Faf du Plessis,RCB,GT,Bangalore,2024-04-20,36.1,135.0,41.2,132.6,39.8,,,,,batsman
MS Dhoni,CSK,MI,Chennai,2024-04-20,38.4,137.8,28.5,123.2,34.0,,,,,wicketkeeper
Dinesh Karthik,RCB,GT,Bangalore,2024-04-20,29.8,141.3,31.5,138.5,30.0,,,,,wicketkeeper
Ravindra Jadeja,CSK,MI,Chennai,2024-04-20,26.7,126.1,34.0,128.9,28.5,1.05,7.2,1.4,1.0,allrounder
Hardik Pandya,MI,CSK,Mumbai,2024-04-20,27.5,142.7,30.2,147.0,25.4,0.85,8.1,1.0,0.9,allrounder
Andre Russell,KKR,PBKS,Kolkata,2024-04-20,30.2,168.5,38.0,175.0,32.1,1.5,9.0,1.6,1.4,allrounder
Ben Stokes,CSK,MI,Chennai,2024-04-20,28.6,132.4,29.4,130.1,27.9,0.9,8.5,1.1,1.0,allrounder
Shivam Dube,CSK,MI,Chennai,2024-04-20,26.4,134.2,35.1,142.2,28.0,0.2,10.1,0.4,0.1,allrounder
Mohammed Shami,GT,RCB,Ahmedabad,2024-04-20,,,,,,1.5,7.3,1.8,1.6,bowler
Jasprit Bumrah,MI,CSK,Mumbai,2024-04-20,,,,,,1.6,6.9,1.7,1.5,bowler
Yuzvendra Chahal,RR,DC,Jaipur,2024-04-20,,,,,,1.9,7.4,2.0,1.8,bowler
Rashid Khan,GT,RCB,Ahmedabad,2024-04-20,,,,,,2.0,6.6,2.2,2.1,bowler
Harshal Patel,RCB,GT,Bangalore,2024-04-20,,,,,,1.8,8.3,2.1,1.7,bowler
Arshdeep Singh,PBKS,KKR,Kolkata,2024-04-20,,,,,,1.2,7.8,1.3,1.1,bowler
Mukesh Kumar,DC,RR,Delhi,2024-04-20,,,,,,1.0,9.2,1.2,0.8,bowler
Kuldeep Yadav,DC,RR,Delhi,2024-04-20,,,,,,1.4,7.1,1.7,1.6,bowler
Axar Patel,DC,RR,Delhi,2024-04-20,23.5,120.4,25.6,125.1,24.1,0.7,6.7,1.0,0.9,allrounder
Riyan Parag,RR,DC,Jaipur,2024-04-20,22.0,115.0,30.5,123.3,23.5,0.4,9.1,0.5,0.4,allrounder
