name,team1,team2,role,career_avg,career_sr,last_5_avg,last_5_sr,venue_avg,venue_wickets,career_wickets,career_eco,last_5_wkts
Virat Kohli,Royal Challengers Bangalore,Chennai Super Kings,batsman,50.2,130.5,45.6,135.6,48.5,0,0,0.0,0
Rohit Sharma,Mumbai Indians,Chennai Super Kings,batsman,45.5,135.2,50.2,140.3,42.6,0,0,0.0,0
MS Dhoni,Chennai Super Kings,Royal Challengers Bangalore,wicketkeeper,40.3,125.8,35.8,130.5,38.5,0,0,0.0,0
Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,bowler,22.1,145.2,25.3,150.2,20.3,28,120,7.2,8
Ravindra Jadeja,Chennai Super Kings,Royal Challengers Bangalore,allrounder,35.8,140.3,40.2,145.6,32.6,15,60,8.1,5
KL Rahul,Lucknow Super Giants,Mumbai Indians,batsman,47.8,138.6,52.3,142.5,45.2,0,0,0.0,0
Rishabh Pant,Delhi Capitals,Mumbai Indians,wicketkeeper,39.2,143.5,45.8,148.6,35.8,0,0,0.0,0
Hardik Pandya,Gujarat Titans,Mumbai Indians,allrounder,32.5,148.2,38.6,152.3,30.2,12,45,8.5,4
Mohammed Shami,Gujarat Titans,Mumbai Indians,bowler,18.7,135.6,22.5,140.2,16.8,32,135,7.8,10
Yuzvendra Chahal,Rajasthan Royals,Mumbai Indians,bowler,15.2,120.5,18.3,125.3,13.5,25,110,7.5,7
Shikhar Dhawan,Punjab Kings,Mumbai Indians,batsman,44.6,127.8,38.9,132.5,40.2,0,0,0.0,0
Bhuvneshwar Kumar,Sunrisers Hyderabad,Mumbai Indians,bowler,12.8,110.5,15.6,115.6,11.5,30,125,7.6,8
Andre Russell,Kolkata Knight Riders,Mumbai Indians,allrounder,30.5,172.3,35.2,178.5,28.6,18,80,9.2,6
David Warner,Delhi Capitals,Mumbai Indians,batsman,48.2,142.5,52.5,145.3,45.8,0,0,0.0,0
Sunil Narine,Kolkata Knight Riders,Mumbai Indians,allrounder,15.6,162.8,20.3,168.5,14.2,22,95,8.3,7
Kagiso Rabada,Punjab Kings,Mumbai Indians,bowler,17.2,125.6,20.5,130.2,15.6,35,150,7.9,12
Jos Buttler,Rajasthan Royals,Mumbai Indians,batsman,42.5,150.2,48.6,155.6,40.2,0,0,0.0,0
Shreyas Iyer,Kolkata Knight Riders,Mumbai Indians,batsman,38.9,130.8,42.3,135.2,36.5,0,0,0.0,0
Rashid Khan,Gujarat Titans,Mumbai Indians,bowler,13.8,115.6,16.5,120.3,12.5,38,160,6.5,11
Pat Cummins,Kolkata Knight Riders,Mumbai Indians,bowler,19.7,130.2,22.8,135.6,18.2,33,145,8.0,9
