match_id,date,venue,actual_best_11,predicted_best_11,overlap_count
Chennai Super Kings_vs_Delhi Capitals_2023-05-20,2023-05-20,"Arun Jaitley Stadium, Delhi","['DP Conway', 'DA Warner', 'RD Gaikwad', 'S Dube', 'RA Jadeja', 'AR Patel', 'YV Dhull', 'Aman Hakim Khan', 'MS Dhoni', 'Lalit Yadav', 'PP Shaw']","['DP Conway', 'RD Gaikwad', 'DA Warner', 'S Dube', 'PD Salt', 'AR Patel', 'RA Jadeja', 'PP Shaw', 'RR Rossouw', 'Aman Hakim Khan', 'YV Dhull']",9
Chennai Super Kings_vs_Delhi Capitals_2023-05-10,2023-05-10,"MA Chidambaram Stadium, Chepauk, Chennai","['RR Rossouw', 'S Dube', 'MS Dhoni', 'MK Pandey', 'AR Patel', 'RD Gaikwad', 'AT Rayudu', 'RA Jadeja', 'PD Salt', 'AM Rahane', 'Lalit Yadav']","['DP Conway', 'RD Gaikwad', 'S Dube', 'RR Rossouw', 'AR Patel', 'AM Rahane', 'MK Pandey', 'RA Jadeja', 'PD Salt', 'Lalit Yadav', 'RV Patel']",9
Chennai Super Kings_vs_Gujarat Titans_2023-05-23,2023-05-23,"MA Chidambaram Stadium, Chepauk, Chennai","['RD Gaikwad', 'Shubman Gill', 'DP Conway', 'Rashid Khan', 'AT Rayudu', 'RA Jadeja', 'AM Rahane', 'MD Shanaka', 'V Shankar', 'WP Saha', 'MM Ali']","['RD Gaikwad', 'DP Conway', 'Shubman Gill', 'V Shankar', 'S Dube', 'Rashid Khan', 'RA Jadeja', 'MD Shanaka', 'AM Rahane', 'DA Miller', 'MM Ali']",9
Chennai Super Kings_vs_Gujarat Titans_2024-03-26,2024-03-26,"MA Chidambaram Stadium, Chepauk, Chennai","['S Dube', 'R Ravindra', 'RD Gaikwad', 'B Sai Sudharsan', 'DJ Mitchell', 'WP Saha', 'DA Miller', 'Sameer Rizvi', 'UT Yadav', 'V Shankar', 'AM Rahane']","['B Sai Sudharsan', 'R Ravindra', 'RD Gaikwad', 'Shubman Gill', 'V Shankar', 'S Dube', 'DJ Mitchell', 'Sameer Rizvi', 'AM Rahane', 'RA Jadeja', 'Azmatullah Omarzai']",8
Chennai Super Kings_vs_Gujarat Titans_2023-03-31,2023-03-31,"Narendra Modi Stadium, Ahmedabad","['RD Gaikwad', 'Shubman Gill', 'WP Saha', 'MM Ali', 'V Shankar', 'B Sai Sudharsan', 'MS Dhoni', 'Rashid Khan', 'S Dube', 'R Tewatia', 'AT Rayudu']","['Shubman Gill', 'MM Ali', 'RD Gaikwad', 'B Sai Sudharsan', 'HH Pandya', 'WP Saha', 'DP Conway', 'MS Dhoni', 'S Dube', 'V Shankar', 'R Tewatia']",9
Chennai Super Kings_vs_Kolkata Knight Riders_2023-04-23,2023-04-23,"Eden Gardens, Kolkata","['AM Rahane', 'JJ Roy', 'DP Conway', 'RK Singh', 'S Dube', 'RD Gaikwad', 'N Rana', 'RA Jadeja', 'VR Iyer', 'AD Russell', 'MS Dhoni']","['DP Conway', 'AM Rahane', 'S Dube', 'RK Singh', 'JJ Roy', 'VR Iyer', 'N Rana', 'RD Gaikwad', 'RA Jadeja', 'AD Russell', 'N Jagadeesan']",10
Chennai Super Kings_vs_Kolkata Knight Riders_2023-05-14,2023-05-14,"MA Chidambaram Stadium, Chepauk, Chennai","['N Rana', 'RK Singh', 'S Dube', 'DP Conway', 'RA Jadeja', 'AM Rahane', 'RD Gaikwad', 'JJ Roy', 'VR Iyer', 'AD Russell', 'AT Rayudu']","['N Rana', 'DP Conway', 'RK Singh', 'RD Gaikwad', 'S Dube', 'AM Rahane', 'Rahmanullah Gurbaz', 'VR Iyer', 'RA Jadeja', 'AD Russell', 'JJ Roy']",10
Chennai Super Kings_vs_Kolkata Knight Riders_2025-04-11,2025-04-11,"MA Chidambaram Stadium, Chepauk, Chennai","['SP Narine', 'S Dube', 'V Shankar', 'Q de Kock', 'AM Rahane', 'RK Singh', 'RA Tripathi', 'DP Conway', 'A Kamboj', 'R Ravindra', 'MS Dhoni']","['DP Conway', 'SP Narine', 'V Shankar', 'RK Singh', 'S Dube', 'AM Rahane', 'R Ravindra', 'MS Dhoni', 'RA Tripathi', 'RA Jadeja', 'Q de Kock']",10
Chennai Super Kings_vs_Lucknow Super Giants_2024-04-19,2024-04-19,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","['KL Rahul', 'RA Jadeja', 'Q de Kock', 'AM Rahane', 'MS Dhoni', 'MM Ali', 'N Pooran', 'RD Gaikwad', 'MP Stoinis', 'S Dube', 'Sameer Rizvi']","['KL Rahul', 'RA Jadeja', 'Q de Kock', 'AM Rahane', 'S Dube', 'MP Stoinis', 'N Pooran', 'MM Ali', 'MS Dhoni', 'RD Gaikwad', 'R Ravindra']",10
Chennai Super Kings_vs_Lucknow Super Giants_2023-04-03,2023-04-03,"MA Chidambaram Stadium, Chepauk, Chennai","['RD Gaikwad', 'KR Mayers', 'DP Conway', 'N Pooran', 'AT Rayudu', 'S Dube', 'MM Ali', 'MP Stoinis', 'A Badoni', 'KL Rahul', 'MS Dhoni']","['KR Mayers', 'RD Gaikwad', 'KL Rahul', 'MP Stoinis', 'N Pooran', 'DP Conway', 'S Dube', 'K Gowtham', 'MS Dhoni', 'MA Wood', 'A Badoni']",9
