match_id,date,venue,actual_best_11,predicted_best_11,overlap_count
Chennai Super Kings_vs_Delhi Capitals_2023-05-20,2023-05-20,"Arun Jaitley Stadium, Delhi","['DL Chahar', 'M Pathirana', 'M Theekshana', 'C Sakariya', 'TU Deshpande', 'KK Ahmed', 'A Nortje', 'RA Jadeja', 'AR Patel', 'Kuldeep Yadav', 'Lalit Yadav']","['M Pathirana', 'DL Chahar', 'M Theekshana', 'A Nortje', 'RA Jadeja', 'AR Patel', 'KK Ahmed', 'TU Deshpande', 'Kuldeep Yadav', 'C Sakariya', 'Lalit Yadav']",11
Chennai Super Kings_vs_Delhi Capitals_2023-05-10,2023-05-10,"MA Chidambaram Stadium, Chepauk, Chennai","['MR Marsh', 'M Pathirana', 'AR Patel', 'TU Deshpande', 'DL Chahar', 'RA Jadeja', 'Kuldeep Yadav', 'KK Ahmed', 'Lalit Yadav', 'MM Ali', 'M Theekshana']","['MR Marsh', 'TU Deshpande', 'M Pathirana', 'AR Patel', 'RA Jadeja', 'DL Chahar', 'Lalit Yadav', 'KK Ahmed', 'Kuldeep Yadav', 'MM Ali', 'M Theekshana']",11
Chennai Super Kings_vs_Gujarat Titans_2023-05-23,2023-05-23,"MA Chidambaram Stadium, Chepauk, Chennai","['M Pathirana', 'RA Jadeja', 'DL Chahar', 'Mohammed Shami', 'M Theekshana', 'MM Sharma', 'Noor Ahmad', 'Rashid Khan', 'TU Deshpande', 'DG Nalkande']","['DL Chahar', 'M Pathirana', 'MM Sharma', 'Mohammed Shami', 'TU Deshpande', 'Noor Ahmad', 'Rashid Khan', 'RA Jadeja', 'DG Nalkande', 'M Theekshana']",10
Chennai Super Kings_vs_Gujarat Titans_2024-03-26,2024-03-26,"MA Chidambaram Stadium, Chepauk, Chennai","['DL Chahar', 'TU Deshpande', 'MM Sharma', 'Mustafizur Rahman', 'Rashid Khan', 'M Pathirana', 'DJ Mitchell', 'R Sai Kishore', 'SH Johnson', 'RA Jadeja', 'Azmatullah Omarzai']","['MM Sharma', 'DL Chahar', 'M Pathirana', 'Mustafizur Rahman', 'SH Johnson', 'TU Deshpande', 'Rashid Khan', 'RA Jadeja', 'DJ Mitchell', 'R Sai Kishore', 'Azmatullah Omarzai']",11
Chennai Super Kings_vs_Gujarat Titans_2023-03-31,2023-03-31,"Narendra Modi Stadium, Ahmedabad","['RS Hangargekar', 'Rashid Khan', 'AS Joseph', 'Mohammed Shami', 'RA Jadeja', 'J Little', 'TU Deshpande', 'DL Chahar', 'MJ Santner', 'Yash Dayal', 'HH Pandya']","['RS Hangargekar', 'Mohammed Shami', 'Rashid Khan', 'AS Joseph', 'DL Chahar', 'HH Pandya', 'J Little', 'RA Jadeja', 'TU Deshpande', 'Yash Dayal', 'MJ Santner']",11
Chennai Super Kings_vs_Kolkata Knight Riders_2023-04-23,2023-04-23,"Eden Gardens, Kolkata","['M Theekshana', 'TU Deshpande', 'K Khejroliya', 'M Pathirana', 'Akash Singh', 'MM Ali', 'Suyash Sharma', 'CV Varun', 'RA Jadeja', 'AD Russell', 'D Wiese']","['TU Deshpande', 'RA Jadeja', 'M Theekshana', 'K Khejroliya', 'MM Ali', 'M Pathirana', 'CV Varun', 'Akash Singh', 'Suyash Sharma', 'SP Narine', 'AD Russell']",10
Chennai Super Kings_vs_Kolkata Knight Riders_2023-05-14,2023-05-14,"MA Chidambaram Stadium, Chepauk, Chennai","['DL Chahar', 'SP Narine', 'CV Varun', 'SN Thakur', 'M Pathirana', 'VG Arora', 'TU Deshpande', 'M Theekshana', 'MM Ali', 'RA Jadeja', 'Suyash Sharma']","['M Pathirana', 'TU Deshpande', 'DL Chahar', 'CV Varun', 'RA Jadeja', 'SP Narine', 'Harshit Rana', 'VG Arora', 'MM Ali', 'SN Thakur', 'M Theekshana']",10
Chennai Super Kings_vs_Kolkata Knight Riders_2025-04-11,2025-04-11,"MA Chidambaram Stadium, Chepauk, Chennai","['SP Narine', 'Harshit Rana', 'CV Varun', 'MM Ali', 'Noor Ahmad', 'VG Arora', 'A Kamboj', 'RA Jadeja', 'R Ashwin', 'KK Ahmed']","['Noor Ahmad', 'KK Ahmed', 'VG Arora', 'SP Narine', 'Harshit Rana', 'CV Varun', 'A Kamboj', 'R Ashwin', 'MM Ali', 'RA Jadeja']",10
Chennai Super Kings_vs_Lucknow Super Giants_2024-04-19,2024-04-19,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","['KH Pandya', 'MP Stoinis', 'M Pathirana', 'Mohsin Khan', 'Mustafizur Rahman', 'Ravi Bishnoi', 'Yash Thakur', 'DL Chahar', 'MJ Henry', 'MM Ali', 'TU Deshpande']","['M Pathirana', 'Yash Thakur', 'KH Pandya', 'Mustafizur Rahman', 'Mohsin Khan', 'RA Jadeja', 'Ravi Bishnoi', 'MM Ali', 'MP Stoinis', 'MJ Henry', 'DL Chahar']",10
Chennai Super Kings_vs_Lucknow Super Giants_2023-04-03,2023-04-03,"MA Chidambaram Stadium, Chepauk, Chennai","['MM Ali', 'Ravi Bishnoi', 'MA Wood', 'TU Deshpande', 'MJ Santner', 'Avesh Khan', 'BA Stokes', 'K Gowtham', 'KR Mayers', 'RA Jadeja', 'Yash Thakur']","['MA Wood', 'Ravi Bishnoi', 'Avesh Khan', 'MM Ali', 'TU Deshpande', 'DL Chahar', 'RA Jadeja', 'MJ Santner', 'KH Pandya', 'KR Mayers', 'K Gowtham']",9
