match_id,date,venue,actual_best_11,predicted_best_11,overlap_count
Chennai Super Kings_vs_Delhi Capitals_2023-05-20,2023-05-20,"Arun Jaitley Stadium, Delhi","['DP Conway', 'DA Warner', 'RD Gaikwad', 'DL Chahar', 'M Pathirana', 'M Theekshana', 'S Dube', 'RA Jadeja', 'C Sakariya', 'TU Deshpande', 'KK Ahmed']","['DP Conway', 'RD Gaikwad', 'DA Warner', 'M Pathirana', 'DL Chahar', 'S Dube', 'PD Salt', 'M Theekshana', 'A Nortje', 'AR Patel', 'RA Jadeja']",8
Chennai Super Kings_vs_Delhi Capitals_2023-05-10,2023-05-10,"MA Chidambaram Stadium, Chepauk, Chennai","['MR Marsh', 'M Pathirana', 'TU Deshpande', 'AR Patel', 'DL Chahar', 'RR Rossouw', 'S Dube', 'RA Jadeja', 'MS Dhoni', 'Kuldeep Yadav', 'MK Pandey']","['MR Marsh', 'TU Deshpande', 'DP Conway', 'M Pathirana', 'RD Gaikwad', 'S Dube', 'RR Rossouw', 'AR Patel', 'AR Patel', 'RA Jadeja', 'AM Rahane']",7
Chennai Super Kings_vs_Gujarat Titans_2023-05-23,2023-05-23,"MA Chidambaram Stadium, Chepauk, Chennai","['M Pathirana', 'RD Gaikwad', 'RA Jadeja', 'Mohammed Shami', 'DL Chahar', 'MM Sharma', 'M Theekshana', 'Shubman Gill', 'DP Conway', 'Rashid Khan', 'Noor Ahmad']","['DL Chahar', 'RD Gaikwad', 'M Pathirana', 'DP Conway', 'MM Sharma', 'Shubman Gill', 'Mohammed Shami', 'TU Deshpande', 'Noor Ahmad', 'Rashid Khan', 'V Shankar']",9
Chennai Super Kings_vs_Gujarat Titans_2024-03-26,2024-03-26,"MA Chidambaram Stadium, Chepauk, Chennai","['S Dube', 'R Ravindra', 'TU Deshpande', 'DL Chahar', 'RD Gaikwad', 'Mustafizur Rahman', 'MM Sharma', 'Rashid Khan', 'B Sai Sudharsan', 'M Pathirana', 'DJ Mitchell']","['B Sai Sudharsan', 'R Ravindra', 'MM Sharma', 'RD Gaikwad', 'DL Chahar', 'M Pathirana', 'Shubman Gill', 'Mustafizur Rahman', 'SH Johnson', 'TU Deshpande', 'V Shankar']",8
Chennai Super Kings_vs_Gujarat Titans_2023-03-31,2023-03-31,"Narendra Modi Stadium, Ahmedabad","['RD Gaikwad', 'Shubman Gill', 'RS Hangargekar', 'Rashid Khan', 'Mohammed Shami', 'AS Joseph', 'WP Saha', 'MM Ali', 'V Shankar', 'RA Jadeja', 'MS Dhoni']","['RS Hangargekar', 'Shubman Gill', 'MM Ali', 'RD Gaikwad', 'B Sai Sudharsan', 'Mohammed Shami', 'HH Pandya', 'Rashid Khan', 'WP Saha', 'AS Joseph', 'DP Conway']",8
Chennai Super Kings_vs_Kolkata Knight Riders_2023-04-23,2023-04-23,"Eden Gardens, Kolkata","['AM Rahane', 'JJ Roy', 'DP Conway', 'RK Singh', 'S Dube', 'TU Deshpande', 'M Theekshana', 'RD Gaikwad', 'K Khejroliya', 'N Rana', 'M Pathirana']","['DP Conway', 'AM Rahane', 'S Dube', 'TU Deshpande', 'RK Singh', 'JJ Roy', 'RA Jadeja', 'M Theekshana', 'VR Iyer', 'K Khejroliya', 'N Rana']",9
Chennai Super Kings_vs_Kolkata Knight Riders_2023-05-14,2023-05-14,"MA Chidambaram Stadium, Chepauk, Chennai","['DL Chahar', 'N Rana', 'RK Singh', 'S Dube', 'SP Narine', 'CV Varun', 'DP Conway', 'SN Thakur', 'M Pathirana', 'VG Arora', 'RA Jadeja']","['N Rana', 'M Pathirana', 'DP Conway', 'TU Deshpande', 'RK Singh', 'RD Gaikwad', 'S Dube', 'DL Chahar', 'AM Rahane', 'CV Varun', 'RA Jadeja']",8
Chennai Super Kings_vs_Kolkata Knight Riders_2025-04-11,2025-04-11,"MA Chidambaram Stadium, Chepauk, Chennai","['SP Narine', 'SP Narine', 'Harshit Rana', 'CV Varun', 'S Dube', 'V Shankar', 'Noor Ahmad', 'MM Ali', 'Q de Kock', 'VG Arora', 'A Kamboj']","['Noor Ahmad', 'DP Conway', 'KK Ahmed', 'SP Narine', 'VG Arora', 'SP Narine', 'Harshit Rana', 'CV Varun', 'V Shankar', 'RK Singh', 'S Dube']",7
Chennai Super Kings_vs_Lucknow Super Giants_2024-04-19,2024-04-19,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","['KL Rahul', 'RA Jadeja', 'Q de Kock', 'KH Pandya', 'AM Rahane', 'MS Dhoni', 'MM Ali', 'N Pooran', 'MP Stoinis', 'M Pathirana', 'Mohsin Khan']","['KL Rahul', 'M Pathirana', 'Yash Thakur', 'RA Jadeja', 'Q de Kock', 'AM Rahane', 'S Dube', 'MP Stoinis', 'KH Pandya', 'Mustafizur Rahman', 'Mohsin Khan']",8
Chennai Super Kings_vs_Lucknow Super Giants_2023-04-03,2023-04-03,"MA Chidambaram Stadium, Chepauk, Chennai","['MM Ali', 'RD Gaikwad', 'Ravi Bishnoi', 'KR Mayers', 'MA Wood', 'DP Conway', 'TU Deshpande', 'N Pooran', 'AT Rayudu', 'S Dube', 'MJ Santner']","['KR Mayers', 'MA Wood', 'RD Gaikwad', 'Ravi Bishnoi', 'Avesh Khan', 'KL Rahul', 'MM Ali', 'MP Stoinis', 'TU Deshpande', 'N Pooran', 'DP Conway']",8
Chennai Super Kings_vs_Lucknow Super Giants_2024-04-23,2024-04-23,"MA Chidambaram Stadium, Chepauk, Chennai","['MP Stoinis', 'RD Gaikwad', 'S Dube', 'M Pathirana', 'N Pooran', 'DL Chahar', 'DJ Hooda', 'MJ Henry', 'Mustafizur Rahman', 'Mohsin Khan', 'MP Stoinis']","['RD Gaikwad', 'MP Stoinis', 'KL Rahul', 'S Dube', 'M Pathirana', 'Mustafizur Rahman', 'Yash Thakur', 'N Pooran', 'MJ Henry', 'Mohsin Khan', 'TU Deshpande']",8
Chennai Super Kings_vs_Mumbai Indians_2024-04-14,2024-04-14,"Wankhede Stadium, Mumbai","['RG Sharma', 'M Pathirana', 'S Dube', 'RD Gaikwad', 'HH Pandya', 'Tilak Varma', 'MS Dhoni', 'Ishan Kishan', 'S Gopal', 'G Coetzee', 'TU Deshpande']","['M Pathirana', 'RG Sharma', 'Mustafizur Rahman', 'Ishan Kishan', 'RD Gaikwad', 'JJ Bumrah', 'SA Yadav', 'S Dube', 'TH David', 'G Coetzee', 'HH Pandya']",7
Chennai Super Kings_vs_Punjab Kings_2024-05-05,2024-05-05,"Himachal Pradesh Cricket Association Stadium, Dharamsala","['HV Patel', 'RA Jadeja', 'RD Chahar', 'Simarjeet Singh', 'RA Jadeja', 'TU Deshpande', 'Arshdeep Singh', 'RD Gaikwad', 'P Simran Singh', 'DJ Mitchell', 'MJ Santner']","['RD Gaikwad', 'HV Patel', 'RA Jadeja', 'RA Jadeja', 'Shashank Singh', 'Simarjeet Singh', 'TU Deshpande', 'RR Rossouw', 'DJ Mitchell', 'RD Chahar', 'MJ Santner']",8
Chennai Super Kings_vs_Punjab Kings_2023-04-30,2023-04-30,"MA Chidambaram Stadium, Chepauk, Chennai","['DP Conway', 'TU Deshpande', 'P Simran Singh', 'LS Livingstone', 'RA Jadeja', 'RD Gaikwad', 'S Dhawan', 'S Dube', 'SM Curran', 'JM Sharma', 'M Pathirana']","['DP Conway', 'TU Deshpande', 'S Dhawan', 'RD Gaikwad', 'M Pathirana', 'S Dube', 'LS Livingstone', 'RA Jadeja', 'P Simran Singh', 'SM Curran', 'Arshdeep Singh']",10
Chennai Super Kings_vs_Punjab Kings_2024-05-01,2024-05-01,"MA Chidambaram Stadium, Chepauk, Chennai","['RD Gaikwad', 'JM Bairstow', 'RD Chahar', 'Harpreet Brar', 'RR Rossouw', 'Arshdeep Singh', 'AM Rahane', 'K Rabada', 'SM Curran', 'Shashank Singh', 'S Dube']","['RD Gaikwad', 'HV Patel', 'JM Bairstow', 'Harpreet Brar', 'S Dube', 'RD Chahar', 'Shashank Singh', 'Mustafizur Rahman', 'RR Rossouw', 'RJ Gleeson', 'P Simran Singh']",7
Chennai Super Kings_vs_Royal Challengers Bangalore_2023-04-17,2023-04-17,"M Chinnaswamy Stadium, Bengaluru","['DP Conway', 'GJ Maxwell', 'F du Plessis', 'S Dube', 'TU Deshpande', 'AM Rahane', 'M Pathirana', 'KD Karthik', 'MM Ali', 'MM Ali', 'HV Patel']","['DP Conway', 'F du Plessis', 'V Kohli', 'TU Deshpande', 'Mohammed Siraj', 'GJ Maxwell', 'AM Rahane', 'Vijaykumar Vyshak', 'M Pathirana', 'MM Ali', 'WD Parnell']",7
Chennai Super Kings_vs_Sunrisers Hyderabad_2024-04-28,2024-04-28,"MA Chidambaram Stadium, Chepauk, Chennai","['RD Gaikwad', 'TU Deshpande', 'DJ Mitchell', 'M Pathirana', 'S Dube', 'Mustafizur Rahman', 'AK Markram', 'RA Jadeja', 'SN Thakur', 'JD Unadkat', 'T Natarajan']","['RD Gaikwad', 'M Pathirana', 'TU Deshpande', 'S Dube', 'Mustafizur Rahman', 'TM Head', 'H Klaasen', 'DJ Mitchell', 'T Natarajan', 'RA Jadeja', 'PJ Cummins']",8
Chennai Super Kings_vs_Sunrisers Hyderabad_2024-04-05,2024-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad","['AK Markram', 'S Dube', 'Abhishek Sharma', 'MM Ali', 'RA Jadeja', 'AM Rahane', 'TM Head', 'RD Gaikwad', 'M Theekshana', 'JD Unadkat', 'Shahbaz Ahmed']","['S Dube', 'H Klaasen', 'Abhishek Sharma', 'TM Head', 'MM Ali', 'PJ Cummins', 'RA Jadeja', 'M Theekshana', 'T Natarajan', 'AM Rahane', 'AK Markram']",8
Delhi Capitals_vs_Chennai Super Kings_2024-03-31,2024-03-31,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","['M Pathirana', 'Mukesh Kumar', 'RR Pant', 'DA Warner', 'KK Ahmed', 'AM Rahane', 'MS Dhoni', 'PP Shaw', 'DJ Mitchell', 'AR Patel', 'RA Jadeja']","['M Pathirana', 'DA Warner', 'AM Rahane', 'Mukesh Kumar', 'DJ Mitchell', 'KK Ahmed', 'RR Pant', 'A Nortje', 'Mustafizur Rahman', 'I Sharma', 'PP Shaw']",8
Delhi Capitals_vs_Chennai Super Kings_2025-04-05,2025-04-05,"MA Chidambaram Stadium, Chepauk, Chennai","['KL Rahul', 'V Shankar', 'V Nigam', 'M Pathirana', 'KK Ahmed', 'Abishek Porel', 'T Stubbs', 'MS Dhoni', 'MA Starc', 'AR Patel', 'Kuldeep Yadav']","['MA Starc', 'Noor Ahmad', 'DP Conway', 'R Ravindra', 'M Pathirana', 'KK Ahmed', 'KL Rahul', 'V Nigam', 'RD Gaikwad', 'Abishek Porel', 'Kuldeep Yadav']",7
Delhi Capitals_vs_Gujarat Titans_2023-04-04,2023-04-04,"Arun Jaitley Stadium, Delhi","['B Sai Sudharsan', 'Mohammed Shami', 'Rashid Khan', 'AS Joseph', 'A Nortje', 'AR Patel', 'DA Miller', 'DA Warner', 'SN Khan', 'V Shankar', 'Abishek Porel']","['Mohammed Shami', 'B Sai Sudharsan', 'Rashid Khan', 'AS Joseph', 'DA Warner', 'DA Miller', 'Abishek Porel', 'MR Marsh', 'A Nortje', 'AR Patel', 'HH Pandya']",9
Delhi Capitals_vs_Gujarat Titans_2024-04-24,2024-04-24,"Arun Jaitley Stadium, Delhi","['RR Pant', 'AR Patel', 'B Sai Sudharsan', 'S Sandeep Warrier', 'DA Miller', 'Rasikh Salam', 'Kuldeep Yadav', 'WP Saha', 'T Stubbs', 'Rashid Khan', 'J Fraser-McGurk']","['S Sandeep Warrier', 'B Sai Sudharsan', 'J Fraser-McGurk', 'T Stubbs', 'RR Pant', 'Mukesh Kumar', 'Kuldeep Yadav', 'Rasikh Salam', 'DA Miller', 'Rashid Khan', 'AR Patel']",10
