batsman,team1,team2,venue,date,runs,delivery,4s,6s,ducks,strike_rate,50s,100s,points,sr_bonus
AC Gilchrist,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,54.0,37,7,2,1,145.94594594594594,1,0,73.0,2
HH Gibbs,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,10.0,10,1,1,1,100.0,0,0,11.0,0
JA Morkel,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,29.0,19,1,2,0,152.63157894736844,0,0,38.0,4
Joginder Sharma,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,16.0,10,1,1,1,160.0,0,0,21.0,4
MS Dhoni,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,23.0,32,2,0,1,71.875,0,0,23.0,0
MS Gony,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,15.0,6,0,2,0,250.0,0,0,25.0,6
PA Patel,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,4.0,6,1,0,1,66.66666666666666,0,0,3.0,0
RG Sharma,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,23.0,17,2,1,1,135.29411764705884,0,0,27.0,2
S Anirudha,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,1.0,8,0,0,1,12.5,0,0,-1.0,0
S Badrinath,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,0.0,5,0,0,1,0.0,0,0,-2.0,0
SB Styris,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,36.0,42,3,1,0,85.71428571428571,0,0,41.0,0
SK Raina,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,32.0,21,5,0,1,152.38095238095238,0,0,39.0,4
SP Fleming,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,14.0,17,2,0,1,82.35294117647058,0,0,14.0,0
Shahid Afridi,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,20.0,6,2,2,0,333.33333333333337,0,0,32.0,6
AA Bilakhia,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,12.0,14,1,0,0,85.71428571428571,0,0,13.0,0
AC Gilchrist,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,44.0,20,5,3,1,220.00000000000003,0,0,59.0,6
DR Smith,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,12.0,5,1,1,1,240.0,0,0,19.0,6
HH Gibbs,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,69.0,57,6,2,0,121.05263157894736,1,0,87.0,0
JA Morkel,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,13.0,7,1,1,1,185.7142857142857,0,0,20.0,6
JDP Oram,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,41.0,29,4,2,0,141.3793103448276,0,0,51.0,2
ML Hayden,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,49.0,36,8,0,1,136.11111111111111,0,0,57.0,2
MS Dhoni,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,22.0,24,1,1,1,91.66666666666666,0,0,23.0,0
PA Patel,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,0.0,2,0,0,1,0.0,0,0,-2.0,0
RG Sharma,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,18.0,20,0,1,1,90.0,0,0,18.0,0
S Badrinath,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,8.0,9,1,0,1,88.88888888888889,0,0,7.0,0
SK Raina,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,25.0,20,1,2,1,125.0,0,0,28.0,0
VVS Laxman,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,4.0,5,0,0,1,80.0,0,0,2.0,0
AC Gilchrist,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,0.0,1,0,0,1,0.0,0,0,-2.0,0
DR Smith,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,49.0,23,2,5,1,213.0434782608696,0,0,65.0,6
HH Gibbs,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,0.0,3,0,0,1,0.0,0,0,-2.0,0
JA Morkel,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,4.0,5,0,0,0,80.0,0,0,4.0,0
M Vijay,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,31.0,33,2,1,1,93.93939393939394,0,0,33.0,0
ML Hayden,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,43.0,28,5,3,1,153.57142857142858,0,0,56.0,4
MS Dhoni,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,58.0,39,6,1,0,148.71794871794873,1,0,76.0,2
PP Ojha,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,0.0,2,0,0,1,0.0,0,0,-2.0,0
RG Sharma,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,21.0,20,2,1,1,105.0,0,0,23.0,0
RJ Harris,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,1.0,4,0,0,1,25.0,0,0,-1.0,0
RP Singh,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,2.0,6,0,0,1,33.33333333333333,0,0,0.0,0
SK Raina,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,32.0,19,1,2,1,168.42105263157893,0,0,39.0,4
Shoaib Ahmed,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,1.0,2,0,0,0,50.0,0,0,1.0,0
TL Suman,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,17.0,17,2,0,1,100.0,0,0,17.0,0
VVS Laxman,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,0.0,7,0,0,1,0.0,0,0,-2.0,0
Y Venugopal Rao,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,2.0,6,0,0,1,33.33333333333333,0,0,0.0,0
A Symonds,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,50.0,46,3,3,1,108.69565217391305,1,0,65.0,0
AC Gilchrist,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,38.0,20,4,3,1,190.0,0,0,52.0,6
HH Gibbs,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,45.0,39,5,1,1,115.38461538461536,0,0,50.0,0
JA Morkel,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,42.0,28,1,3,0,150.0,0,0,53.0,4
JM Kemp,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,22.0,16,1,1,1,137.5,0,0,25.0,2
L Balaji,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,15.0,10,1,1,1,150.0,0,0,20.0,4
M Muralitharan,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,1.0,2,0,0,1,50.0,0,0,-1.0,0
M Vijay,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,3.0,6,0,0,1,50.0,0,0,1.0,0
ML Hayden,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,17.0,11,0,2,1,154.54545454545453,0,0,23.0,4
MS Dhoni,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,42.0,30,3,2,1,140.0,0,0,49.0,2
R Ashwin,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,0.0,1,0,0,1,0.0,0,0,-2.0,0
RG Sharma,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,19.0,10,2,1,1,190.0,0,0,27.0,6
S Badrinath,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,5.0,12,1,0,1,41.66666666666667,0,0,4.0,0
S Tyagi,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,3.0,4,0,0,0,75.0,0,0,3.0,0
SK Raina,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,6.0,3,0,1,1,200.0,0,0,6.0,0
TL Suman,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,10.0,5,2,0,0,200.0,0,0,18.0,6
VVS Laxman,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,12.0,11,2,0,0,109.09090909090908,0,0,14.0,0
A Symonds,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,23.0,23,3,0,1,100.0,0,0,24.0,0
AC Gilchrist,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,15.0,20,1,1,1,75.0,0,0,16.0,0
B Sumanth,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,16.0,19,2,0,1,84.21052631578947,0,0,16.0,0
HH Gibbs,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,18.0,26,1,0,1,69.23076923076923,0,0,15.0,-2
Harmeet Singh,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,0.0,1,0,0,1,0.0,0,0,-2.0,0
JA Morkel,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,4.0,4,0,0,1,100.0,0,0,2.0,0
M Vijay,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,15.0,11,1,1,1,136.36363636363637,0,0,18.0,2
MD Mishra,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,2.0,5,0,0,1,40.0,0,0,0.0,0
ML Hayden,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,8.0,10,2,0,1,80.0,0,0,8.0,0
MS Dhoni,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,30.0,33,3,0,1,90.9090909090909,0,0,31.0,0
PP Ojha,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,1.0,4,0,0,1,25.0,0,0,-1.0,0
R Ashwin,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,6.0,5,1,0,0,120.0,0,0,7.0,0
RG Sharma,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,2.0,5,0,0,1,40.0,0,0,0.0,0
RJ Harris,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,15.0,8,1,1,1,187.5,0,0,22.0,6
RP Singh,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,0.0,3,0,0,0,0.0,0,0,0.0,0
S Anirudha,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,24.0,15,1,2,1,160.0,0,0,31.0,4
S Badrinath,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,37.0,41,3,1,1,90.2439024390244,0,0,40.0,0
SK Raina,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,2.0,4,0,0,1,50.0,0,0,0.0,0
TL Suman,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,4.0,4,1,0,1,100.0,0,0,3.0,0
A Mishra,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,2.0,5,0,0,2,40.0,0,0,-2.0,0
B Chipli,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,17.0,15,0,0,1,113.33333333333331,0,0,15.0,0
CL White,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,13.0,18,1,0,1,72.22222222222221,0,0,12.0,0
DT Christian,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,1.0,1,0,0,0,100.0,0,0,1.0,0
I Sharma,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,1.0,1,0,0,0,100.0,0,0,1.0,0
JA Morkel,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,19.0,6,0,3,0,316.66666666666663,0,0,31.0,6
JP Duminy,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,17.0,11,2,0,1,154.54545454545453,0,0,21.0,4
KC Sangakkara,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,15.0,12,1,1,1,125.0,0,0,16.0,0
M Vijay,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,3.0,15,0,0,1,20.0,0,0,1.0,0
MEK Hussey,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,46.0,41,5,0,1,112.19512195121952,0,0,49.0,0
MS Dhoni,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,21.0,22,1,1,2,95.45454545454544,0,0,20.0,0
