batsman,team1,team2,venue,date,runs,delivery,4s,6s,ducks,strike_rate,50s,100s,points,sr_bonus,last_5_avg,last_5_sr,career_avg,career_sr,venue_avg
A Ashish Reddy,Mumbai Indians,Deccan Chargers,Wankhede Stadium,2012-04-29,10.0,10,0,1,1,100.0,0,0,10.0,0,10.0,100.0,12.173913043478262,135.39039462952505,10.0
A Ashish Reddy,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,3.0,3,0,0,1,100.0,0,0,1.0,0,6.5,100.0,12.173913043478262,135.39039462952505,19.5
A Ashish Reddy,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2012-05-08,8.0,8,1,0,1,100.0,0,0,7.0,0,7.0,100.0,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2012-05-18,10.0,4,2,0,0,250.0,0,0,18.0,6,7.75,137.5,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2012-05-20,4.0,5,0,0,1,80.0,0,0,2.0,0,7.0,126.0,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",2013-04-05,7.0,4,1,0,0,175.0,0,0,8.0,0,6.4,141.0,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2013-04-07,14.0,12,0,1,1,116.66666666666669,0,0,14.0,0,8.6,144.33333333333334,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,2013-04-09,3.0,4,0,0,1,75.0,0,0,1.0,0,7.6,139.33333333333334,12.173913043478262,135.39039462952505,17.5
A Ashish Reddy,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,2013-04-12,16.0,9,2,0,1,177.77777777777777,0,0,22.0,6,8.8,124.88888888888889,12.173913043478262,135.39039462952505,16.0
A Ashish Reddy,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2013-04-14,4.0,5,0,0,1,80.0,0,0,2.0,0,8.8,124.88888888888889,12.173913043478262,135.39039462952505,4.0
A Ashish Reddy,Pune Warriors,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,2013-04-17,19.0,15,0,1,0,126.66666666666666,0,0,21.0,0,11.2,115.22222222222221,12.173913043478262,135.39039462952505,19.0
A Ashish Reddy,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2013-04-19,7.0,7,1,0,0,100.0,0,0,8.0,0,9.8,111.88888888888889,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",2013-04-25,36.0,16,2,3,0,225.0,0,0,50.0,6,16.4,141.88888888888889,12.173913043478262,135.39039462952505,19.5
A Ashish Reddy,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,2013-04-27,14.0,11,1,0,1,127.27272727272728,0,0,13.0,0,16.0,131.7878787878788,12.173913043478262,135.39039462952505,14.0
A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2013-05-04,5.0,7,1,0,1,71.42857142857143,0,0,4.0,0,16.2,130.0735930735931,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015-04-16,13.0,9,0,1,0,144.44444444444443,0,0,17.0,2,15.0,133.62914862914863,12.173913043478262,135.39039462952505,14.0
A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015-04-18,15.0,8,1,1,1,187.5,0,0,22.0,6,16.6,151.12914862914863,12.173913043478262,135.39039462952505,14.0
A Ashish Reddy,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",2015-04-27,22.0,8,1,2,0,275.0,0,0,33.0,6,13.8,161.12914862914863,12.173913043478262,135.39039462952505,22.0
A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",2015-05-02,6.0,6,1,0,1,100.0,0,0,5.0,0,12.2,155.6746031746032,12.173913043478262,135.39039462952505,8.454545454545455
