bowler,team1,team2,venue,date,delivery,runs,wicket,byes,legbyes,overs,economy,4w,5w,points,eco_bonus
DP Vijaykumar,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,18,17.0,1,0.0,1.0,3.0,5.666666666666667,0,0,29,4
JA Morkel,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,25,25.0,1,0.0,0.0,4.1,6.097560975609756,0,0,27,2
Joginder Sharma,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,18,38.0,0,0.0,0.0,3.0,12.666666666666666,0,0,-6,-6
M Muralitharan,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,25,23.0,1,0.0,1.0,4.1,5.609756097560976,0,0,29,4
M Ntini,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,24,37.0,0,0.0,0.0,4.0,9.25,0,0,-2,-2
MS Gony,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,18,15.0,1,0.0,0.0,3.0,5.0,0,0,29,4
PP Ojha,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,25,21.0,1,0.0,0.0,4.1,5.121951219512195,0,0,29,4
RP Singh,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,20,10.0,2,0.0,4.0,3.2,3.125,0,0,56,6
SB Bangar,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,24,36.0,1,0.0,0.0,4.0,9.0,0,0,25,0
SB Styris,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,19,23.0,1,0.0,0.0,3.1,7.419354838709677,0,0,25,0
Shahid Afridi,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,18,27.0,1,0.0,1.0,3.0,9.0,0,0,25,0
DR Smith,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,6,17.0,0,0.0,0.0,1.0,17.0,0,0,0,0
FH Edwards,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,24,21.0,1,0.0,0.0,4.0,5.25,0,0,29,4
JA Morkel,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,18,24.0,0,0.0,1.0,3.0,8.0,0,0,0,0
JDP Oram,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,18,28.0,0,0.0,1.0,3.0,9.333333333333334,0,0,-2,-2
Joginder Sharma,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,6,14.0,0,0.0,0.0,1.0,14.0,0,0,0,0
L Balaji,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,22,40.0,1,0.0,0.0,3.4,11.764705882352942,0,0,19,-6
M Muralitharan,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,25,16.0,1,0.0,0.0,4.1,3.902439024390244,0,0,31,6
MS Gony,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,7,19.0,0,0.0,0.0,1.1,17.27272727272727,0,0,0,0
PP Ojha,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,12,11.0,2,0.0,0.0,2.0,5.5,0,0,54,4
RG Sharma,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,18,18.0,1,0.0,0.0,3.0,6.0,0,0,27,2
